주문일자,제품군,제품명,판매수량,단가,매출액,원가,지역,고객등급,프로모션여부
2024-01-02,가전,가습기 C,12,80000,960000,700800,경기,VIP,적용
2024-01-04,가전,무선청소기 A,32,550000,17600000,16720000,경기,Gold,적용
2024-01-07,소품,크리스마스 트리,7,30000,210000,69300,부산,VIP,미적용
2024-01-23,소품,암막 커튼,33,45000,1485000,653400,대구,Silver,적용
2024-01-24,가전,무선청소기 A,88,550000,48400000,45980000,대구,VIP,미적용
2024-01-25,가전,무선청소기 A,34,550000,18700000,17765000,인천,Silver,적용
2024-01-28,소품,원목 테이블,164,130000,21320000,24518000,서울,Bronze,적용
2024-02-02,가전,로봇청소기 D,9,800000,7200000,5616000,경기,VIP,미적용
2024-02-03,소품,리빙박스,59,15000,885000,292050,인천,Gold,적용
2024-02-06,소품,원목 테이블,29,130000,3770000,4335500,대구,Gold,미적용
2024-02-09,소품,리빙박스,121,15000,1815000,598950,인천,Gold,미적용
2024-02-12,가전,무선청소기 A,33,550000,18150000,17242500,서울,Gold,적용
2024-02-27,가전,가습기 C,156,80000,12480000,9110400,서울,Silver,미적용
2024-03-03,가전,무선청소기 A,118,550000,64900000,61655000,인천,Gold,미적용
2024-03-13,소품,리빙박스,32,15000,480000,158400,대구,VIP,적용
2024-03-13,소품,암막 커튼,31,45000,1395000,613800,경기,Gold,미적용
2024-03-17,소품,암막 커튼,147,45000,6615000,2910600,서울,VIP,적용
2024-03-21,가전,무선청소기 A,36,550000,19800000,18810000,대구,VIP,미적용
2024-03-24,소품,리빙박스,43,15000,645000,212850,인천,Gold,적용
2024-04-05,소품,리빙박스,13,15000,195000,64350,인천,Bronze,적용
2024-04-06,소품,암막 커튼,90,45000,4050000,1782000,인천,Gold,적용
2024-04-08,가전,공기청정기 B,84,320000,26880000,8332800,부산,VIP,적용
2024-04-12,가전,무선청소기 A,178,550000,97900000,93005000,대구,VIP,미적용
2024-04-16,가전,공기청정기 B,27,320000,8640000,2678400,인천,Gold,적용
2024-04-18,소품,리빙박스,27,15000,405000,133650,서울,Silver,미적용
2024-05-02,가전,로봇청소기 D,13,800000,10400000,8112000,경기,VIP,적용
2024-05-03,가전,공기청정기 B,45,320000,14400000,4464000,부산,Gold,적용
2024-05-18,가전,이동식 에어컨,61,600000,36600000,27450000,경기,Bronze,적용
2024-05-19,가전,무선청소기 A,11,550000,6050000,5747500,인천,Gold,적용
2024-05-23,가전,공기청정기 B,38,320000,12160000,3769600,서울,VIP,미적용
2024-06-03,가전,로봇청소기 D,37,800000,29600000,23088000,경기,Silver,적용
2024-06-05,가전,이동식 에어컨,44,600000,26400000,19800000,서울,Gold,미적용
2024-06-08,가전,이동식 에어컨,7,600000,4200000,3150000,인천,VIP,미적용
2024-06-11,가전,무선청소기 A,29,550000,15950000,15152500,인천,Bronze,미적용
2024-06-18,가전,무선청소기 A,46,550000,25300000,24035000,부산,VIP,적용
2024-06-21,소품,암막 커튼,92,45000,4140000,1821600,대구,Bronze,미적용
2024-07-06,가전,무선청소기 A,9,550000,4950000,4702500,경기,Silver,적용
2024-07-10,가전,이동식 에어컨,166,600000,99600000,74700000,대구,Bronze,미적용
2024-07-16,소품,리빙박스,39,15000,585000,193050,대구,VIP,미적용
2024-07-21,가전,이동식 에어컨,7,600000,4200000,3150000,인천,Bronze,적용
2024-07-27,소품,암막 커튼,97,45000,4365000,1920600,대구,Silver,적용
2024-08-01,가전,로봇청소기 D,83,800000,66400000,51792000,서울,Bronze,적용
2024-08-01,가전,이동식 에어컨,42,600000,25200000,18900000,대구,VIP,적용
2024-08-09,소품,암막 커튼,9,45000,405000,178200,대구,Silver,미적용
2024-08-20,가전,무선청소기 A,35,550000,19250000,18287500,부산,Silver,적용
2024-08-26,소품,암막 커튼,132,45000,5940000,2613600,경기,Silver,미적용
2024-09-02,가전,무선청소기 A,40,550000,22000000,20900000,경기,Gold,미적용
2024-09-04,소품,리빙박스,174,15000,2610000,861300,인천,VIP,미적용
2024-09-07,소품,원목 테이블,7,130000,910000,1046500,서울,VIP,미적용
2024-09-15,소품,암막 커튼,14,45000,630000,277200,서울,VIP,미적용
2024-09-17,가전,로봇청소기 D,24,800000,19200000,14976000,대구,Bronze,미적용
2024-09-24,가전,로봇청소기 D,102,800000,81600000,63648000,대구,Gold,적용
2024-10-02,가전,가습기 C,40,80000,3200000,2336000,서울,Gold,미적용
2024-10-09,가전,공기청정기 B,35,320000,11200000,3472000,대구,Bronze,미적용
2024-10-10,가전,가습기 C,7,80000,560000,408800,경기,Bronze,미적용
2024-10-26,소품,암막 커튼,25,45000,1125000,495000,경기,VIP,미적용
2024-10-28,가전,로봇청소기 D,14,800000,11200000,8736000,경기,Bronze,미적용
2024-11-12,소품,크리스마스 트리,115,30000,3450000,1138500,인천,Silver,적용
2024-11-13,가전,로봇청소기 D,7,800000,5600000,4368000,부산,VIP,적용
2024-11-20,소품,원목 테이블,120,130000,15600000,17939999,인천,Bronze,적용
2024-11-23,소품,암막 커튼,11,45000,495000,217800,부산,Bronze,적용
2024-11-24,소품,원목 테이블,93,130000,12090000,13903499,부산,Silver,미적용
2024-12-02,가전,무선청소기 A,68,550000,37400000,35530000,서울,Bronze,미적용
2024-12-03,가전,로봇청소기 D,14,800000,11200000,8736000,경기,Gold,적용
2024-12-07,소품,원목 테이블,43,130000,5590000,6428500,부산,Bronze,적용
2024-12-17,소품,암막 커튼,82,45000,3690000,1623600,서울,Silver,미적용
2024-12-19,소품,리빙박스,61,15000,915000,301950,서울,Silver,미적용
2024-12-21,가전,무선청소기 A,43,550000,23650000,22467500,부산,Gold,적용
2024-12-21,가전,가습기 C,169,80000,13520000,9869600,부산,Gold,적용
